model,seed,dataset,metric,value
bert_regression,2,geco_test,r_gaze,0.3865682520947078
bert_regression,2,geco_test,r_skip,0.641879954888362
bert_regression,2,geco_test,mae_trt,58.50605206616635
bert_regression,2,geco_test,mae_ffd,34.78862862204655
bert_regression,2,geco_test,mae_gaze,42.69140274902236
bert_regression,2,geco_test,bias_trt,-6.18245743446181
bert_regression,2,geco_test,bias_ffd,-1.4317540896546177
bert_regression,2,geco_test,bias_gaze,0.8264049876125341
bert_regression,2,geco_test,mean_pred_skip,0.5352970713421423
bert_regression,2,geco_test,mean_human_skip,0.5266514979294474
bert_regression,2,provo,r_trt,0.6026699306138756
bert_regression,2,provo,r_ffd,0.30497902075249933
bert_regression,2,provo,r_gaze,0.5735116662817009
bert_regression,2,provo,r_skip,0.7771332869484296
bert_regression,2,provo,mae_trt,47.42955709550437
bert_regression,2,provo,mae_ffd,17.747744803379994
bert_regression,2,provo,mae_gaze,31.210426864930504
bert_regression,2,provo,bias_trt,-27.828815025679603
bert_regression,2,provo,bias_ffd,0.7229894020453571
bert_regression,2,provo,bias_gaze,-13.127516223323141
bert_regression,2,provo,mean_pred_skip,0.5273626998751884
bert_regression,2,provo,mean_human_skip,0.44056141672946497
bert_regression,3,geco_test,r_trt,0.44756213360295233
bert_regression,3,geco_test,r_ffd,0.21674359023740317
bert_regression,3,geco_test,r_gaze,0.38430915956064515
bert_regression,3,geco_test,r_skip,0.6464423998071744
bert_regression,3,geco_test,mae_trt,59.05319831178082
bert_regression,3,geco_test,mae_ffd,35.28242579668779
bert_regression,3,geco_test,mae_gaze,43.03201342086116
bert_regression,3,geco_test,bias_trt,-16.23785641121478
bert_regression,3,geco_test,bias_ffd,-4.847641894211279
bert_regression,3,geco_test,bias_gaze,-10.66890556571991
bert_regression,3,geco_test,mean_pred_skip,0.5593309428470392
bert_regression,3,geco_test,mean_human_skip,0.5266514979294474
bert_regression,3,provo,r_trt,0.5912916548957593
bert_regression,3,provo,r_ffd,0.2964329854468473
bert_regression,3,provo,r_gaze,0.5703859497915622
bert_regression,3,provo,r_skip,0.7714168962558589
bert_regression,3,provo,mae_trt,50.772883763541024
bert_regression,3,provo,mae_ffd,18.464234673290566
bert_regression,3,provo,mae_gaze,34.06703443264565
bert_regression,3,provo,bias_trt,-34.75947266614969
bert_regression,3,provo,bias_ffd,-1.3794873029466714
bert_regression,3,provo,bias_gaze,-22.412678216929123
bert_regression,3,provo,mean_pred_skip,0.5388519816050066
bert_regression,3,provo,mean_human_skip,0.44056141672946497
bert_regression,42,geco_test,r_trt,0.44975648372888016
bert_regression,42,geco_test,r_ffd,0.22290608080380378
bert_regression,42,geco_test,r_gaze,0.38611726151698933
bert_regression,42,geco_test,r_skip,0.6416488573448973
bert_regression,42,geco_test,mae_trt,59.85006323616203
bert_regression,42,geco_test,mae_ffd,34.85256223862154
bert_regression,42,geco_test,mae_gaze,42.871923704219626
bert_regression,42,geco_test,bias_trt,5.479986136034256
bert_regression,42,geco_test,bias_ffd,0.1045523293642816
bert_regression,42,geco_test,bias_gaze,2.0908794885089605
bert_regression,42,geco_test,mean_pred_skip,0.5057466025353344
bert_regression,42,geco_test,mean_human_skip,0.5266514979294474
bert_regression,42,provo,r_trt,0.5899158192541335
bert_regression,42,provo,r_ffd,0.287127646430277
bert_regression,42,provo,r_gaze,0.5651363469040317
bert_regression,42,provo,r_skip,0.7788688453784268
bert_regression,42,provo,mae_trt,45.85702402380986
bert_regression,42,provo,mae_ffd,17.84512059950692
bert_regression,42,provo,mae_gaze,31.1403520753374
bert_regression,42,provo,bias_trt,-15.06492667595245
bert_regression,42,provo,bias_ffd,2.4351284828145197
bert_regression,42,provo,bias_gaze,-10.825711283357435
bert_regression,42,provo,mean_pred_skip,0.49090364595598623
bert_regression,42,provo,mean_human_skip,0.44056141672946497
gpt2_surprisal,1,geco_test,r_trt,0.431
gpt2_surprisal,1,geco_test,r_ffd,0.175
gpt2_surprisal,1,geco_test,r_gaze,0.367
gpt2_surprisal,1,geco_test,r_skip,0.621
gpt2_surprisal,1,geco_test,mae_trt,59.4
gpt2_surprisal,1,geco_test,mae_ffd,35.1
gpt2_surprisal,1,provo,r_trt,0.653
gpt2_surprisal,1,provo,r_ffd,0.324
gpt2_surprisal,1,provo,r_gaze,0.631
gpt2_surprisal,1,provo,r_skip,0.762
gpt2_surprisal,1,provo,mae_trt,43.4
gpt2_surprisal,1,provo,mae_ffd,17.3
lightgbm,1,geco_test,r_trt,0.465
lightgbm,1,geco_test,r_ffd,0.233
lightgbm,1,geco_test,r_gaze,0.406
lightgbm,1,geco_test,r_skip,0.74
lightgbm,1,geco_test,mae_trt,58.1
lightgbm,1,geco_test,mae_ffd,34.7
lightgbm,1,provo,r_trt,0.651
lightgbm,1,provo,r_ffd,0.333
lightgbm,1,provo,r_gaze,0.633
lightgbm,1,provo,r_skip,0.875
lightgbm,1,provo,mae_trt,43.1
lightgbm,1,provo,mae_ffd,17.5
linear_regression,1,geco_test,r_trt,0.427
linear_regression,1,geco_test,r_ffd,0.175
linear_regression,1,geco_test,r_gaze,0.363
linear_regression,1,geco_test,r_skip,0.721
linear_regression,1,geco_test,mae_trt,59.5
linear_regression,1,geco_test,mae_ffd,35.1
linear_regression,1,provo,r_trt,0.623
linear_regression,1,provo,r_ffd,0.324
linear_regression,1,provo,r_gaze,0.614
linear_regression,1,provo,r_skip,0.852
linear_regression,1,provo,mae_trt,44.3
linear_regression,1,provo,mae_ffd,17.3
ohio_state_roberta,1,geco_test,r_trt,0.4469646005609212
ohio_state_roberta,1,geco_test,r_ffd,0.14051688268124943
ohio_state_roberta,1,geco_test,r_gaze,0.3417961930641833
ohio_state_roberta,1,geco_test,r_skip,0.7398880332670668
ohio_state_roberta,1,geco_test,mae_trt,59.96742722673279
